"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DYHF","DYTS","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","WindEquipmentChangeDate"
"72509014739","2020-05-10T07:54:00","FM-15","7",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.95","25","43","0.00",,,,"49","29.95","SCT:04 47 BKN:07 55","29.92","10.00","36","250","21","9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11105/10/20 07:54:02 METAR KBOS 101254Z 25008G18KT 10SM SCT047 BKN055 06/M04 A2995 RMK AO2 SLP142 T00611039 $ (FA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T08:54:00","FM-15","7",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.94","24","47","0.00",,,,"41","29.94","FEW:02 45 SCT:04 55","29.91","10.00","38","270","23","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11105/10/20 08:54:02 METAR KBOS 101354Z 27014G20KT 10SM FEW045 SCT055 08/M04 A2994 RMK AO2 SLP138 T00831044 $ (FA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T09:54:00","FM-15","7",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.94","24","49","0.00",,"+0.01","8","38","29.93","FEW:02 45 SCT:04 60","29.91","10.00","39","270","25","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET13505/10/20 09:54:02 METAR KBOS 101454Z 27016G22KT 10SM FEW045 SCT060 09/M04 A2994 RMK AO2 PK WND 25030/1440 SLP137 T00941044 58005 $ (FA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T10:00:00","FM-12","4",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24","49",,,"+0.01","8","38","29.93","41","29.92","9.94","39","270",,"18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN07472509 32666 42716 10094 21044 30131 40137 58005 91454 333 91022 555 91015=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T10:54:00","FM-15","7",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.94","25","50","0.00",,,,"38","29.93","BKN:07 60","29.91","10.00","40","250","32","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12205/10/20 10:54:02 METAR KBOS 101554Z 25020G28KT 10SM BKN060 10/M04 A2994 RMK AO2 PK WND 25028/1554 SLP136 T01001039 $ (FA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T11:54:00","FM-15","7",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.92","25","52","0.00",,,,"35","29.92","BKN:07 65","29.89","10.00","41","260","37","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12205/10/20 11:54:02 METAR KBOS 101654Z 26022G32KT 10SM BKN065 11/M04 A2992 RMK AO2 PK WND 28032/1645 SLP132 T01111039 $ (FA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T12:54:00","FM-15","7",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.91","25","55","0.00",,"+0.03","8","31","29.90","BKN:07 65","29.88","10.00","42","270","31","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET14005/10/20 12:54:02 METAR KBOS 101754Z 27018G27KT 10SM BKN065 13/M04 A2991 RMK AO2 PK WND 28029/1659 SLP126 T01281039 10128 20044 58011 $ (FA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T13:00:00","FM-12","4",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25","55",,,"+0.03","8","31","29.90","57","29.89","9.94","42","270",,"21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN08672509 32766 62718 10128 21039 30121 40126 58011 91754 333 10128 20039 91027 555 91018=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T13:54:00","FM-15","7",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.89","26","57","0.00",,,,"30","29.88","SCT:04 75","29.86","10.00","44","280","36","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12305/10/20 13:54:02 METAR KBOS 101854Z 28013G31KT 10SM SCT075 14/M03 A2989 RMK AO2 PK WND 28031/1838 SLP119 T01391033 $ (ETM)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T14:54:00","FM-15","7",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.86","24","58","0.00",,,,"27","29.86","SCT:04 80","29.83","10.00","44","260","29","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12305/10/20 14:54:02 METAR KBOS 101954Z 26015G25KT 10SM SCT080 14/M04 A2986 RMK AO2 PK WND 26030/1943 SLP112 T01441044 $ (ETM)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T15:54:00","FM-15","7",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.85","24","60","0.00",,"+0.05","6","25","29.85","SCT:04 85","29.82","10.00","45","250","34","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12905/10/20 15:54:02 METAR KBOS 102054Z 25019G30KT 10SM SCT085 16/M04 A2985 RMK AO2 PK WND 26031/2026 SLP109 T01561044 56018 $ (ETM)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T16:00:00","FM-12","4",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24","60",,,"+0.05","6","25","29.85",,"29.83","9.94","45","250",,"22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN07472509 32966 42519 10156 21044 30101 40109 56018 92054 333 91030 555 91021=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T16:54:00","FM-15","7",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.87","26","59","0.00",,,,"28","29.86","SCT:04 85","29.84","10.00","45","270","28","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12305/10/20 16:54:02 METAR KBOS 102154Z 27014G24KT 10SM SCT085 15/M03 A2987 RMK AO2 PK WND 26030/2119 SLP113 T01501033 $ (ETM)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T17:54:00","FM-15","7",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.87","27","58","0.00",,,,"31","29.87","SCT:04 80","29.84","10.00","45","250","33","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12305/10/20 17:54:02 METAR KBOS 102254Z 25021G29KT 10SM SCT080 14/M03 A2987 RMK AO2 PK WND 28029/2249 SLP114 T01441028 $ (ETM)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T18:54:00","FM-15","7",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.88","28","56","0.00",,"-0.03","1","34","29.88","SCT:04 100 SCT:04 250","29.85","10.00","44","270",,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET14505/10/20 18:54:02 METAR KBOS 102354Z 27010KT 10SM SCT100 SCT250 13/M02 A2988 RMK AO2 PK WND 26026/2255 SLP119 T01331022 10156 20128 51010 $ (ETM)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T19:00:00","FM-12","4",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28","56",,,"-0.03","1","34","29.88",,"29.86","9.94","44","270",,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN08072509 32966 42710 10133 21022 30111 40119 51010 92354 333 10156 20011 555 91100=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T19:54:00","FM-15","7",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.89","29","55","0.00",,,,"37","29.89","FEW:02 90 FEW:02 220","29.86","10.00","44","260",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10305/10/20 19:54:01 METAR KBOS 110054Z 26006KT 10SM FEW090 FEW220 13/M02 A2989 RMK AO2 SLP122 T01281017 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T20:54:00","FM-15","7",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.91","32","53","0.00",,,,"45","29.91","FEW:02 90 FEW:02 220","29.88","10.00","44","230",,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10205/10/20 20:54:01 METAR KBOS 110154Z 23008KT 10SM FEW090 FEW220 12/00 A2991 RMK AO2 SLP127 T01170000 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T21:54:00","FM-15","7",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.92","33","52","0.00",,"-0.04","3","49","29.92","FEW:02 70 BKN:07 140","29.89","10.00","44","270",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10805/10/20 21:54:01 METAR KBOS 110254Z 27006KT 10SM FEW070 BKN140 11/01 A2992 RMK AO2 SLP133 T01110006 53014 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T22:00:00","FM-12","4",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33","52",,,"-0.04","3","49","29.92","74","29.90","9.94","44","270",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN06472509 32866 62706 10111 20006 30124 40133 53014 90254 555 91103=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T22:54:00","FM-15","7",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.93","30","52","0.00",,,,"43","29.93","BKN:07 140","29.90","10.00","43","280",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09605/10/20 22:54:02 METAR KBOS 110354Z 28006KT 10SM BKN140 11/M01 A2993 RMK AO2 SLP135 T01111011 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
"72509014739","2020-05-10T23:54:00","FM-15","7",,"ESE","2.6","mi","SNOW","20",,"SNOWBOARD, SNOW RULER","42.3517","-70.9606","MWRA DEER ISLAND TREATMENT PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.94","31","50","0.00",,,,"48","29.93","BKN:07 140","29.91","10.00","42","240",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10605/10/20 23:54:02 METAR KBOS 110454Z 24003KT 10SM BKN140 10/M01 A2994 RMK AO2 SLP136 T01001006 401560011 $","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2006-10-05"
